id,prompt_style,fitness,train_Return_%,train_Sharpe,train_MaxDD_%,test_Return_%,test_Sharpe,test_MaxDD_%,code_path
2,aggressive,-0.2255038186276215,-0.2255038186276215,-0.24416068423782739,-0.9691046062908937,0.04554921671000193,0.20629464534255895,-0.2972488193801248,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_002.py
16,aggressive,-0.22947998441406525,-0.22947998441406525,-0.2457832891091638,-0.8485218503643366,0.08517681594830355,0.37932654101401625,-0.2618702157196173,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_016.py
12,aggressive,-0.22947998441406525,-0.22947998441406525,-0.2457832891091638,-0.8485218503643366,0.08517681594830355,0.37932654101401625,-0.2618702157196173,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_012.py
9,aggressive,-0.22947998441406525,-0.22947998441406525,-0.2457832891091638,-0.8485218503643366,0.08517681594830355,0.37932654101401625,-0.2618702157196173,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_009.py
17,aggressive,-0.22947998441406525,-0.22947998441406525,-0.2457832891091638,-0.8485218503643366,0.08517681594830355,0.37932654101401625,-0.2618702157196173,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_017.py
3,aggressive,-0.37241975053719945,-0.37241975053719945,-0.2791385141090687,-0.9890639352788111,-0.1357317519738135,-0.45326036239310386,-0.4897840673656395,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_003.py
14,aggressive,-0.5709708272034332,-0.5709708272034332,-0.42898084206821896,-1.1633656392581626,-0.15169646800114422,-0.5196009552779656,-0.4520814443588317,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_014.py
13,aggressive,-0.718324498594462,-0.718324498594462,-0.9856164150984074,-0.9844094220441524,-0.008000073969436925,-0.035713070082355615,-0.2867425998296591,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_013.py
4,aggressive,-0.757196805520478,-0.757196805520478,-0.878831935027593,-1.3291777647163383,0.0005521066576766316,0.00251921080756786,-0.2786469815259318,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_004.py
1,aggressive,-0.757196805520478,-0.757196805520478,-0.878831935027593,-1.3291777647163383,0.0005521066576766316,0.00251921080756786,-0.2786469815259318,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_001.py
11,aggressive,-0.757196805520478,-0.757196805520478,-0.878831935027593,-1.3291777647163383,0.0005521066576766316,0.00251921080756786,-0.2786469815259318,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_011.py
5,aggressive,-0.757196805520478,-0.757196805520478,-0.878831935027593,-1.3291777647163383,0.0005521066576766316,0.00251921080756786,-0.2786469815259318,/root/autodl-tmp/outputs/day26_tlt_aggressive/gen01_codes/strat_005.py
