asset,bh_train_ret,bh_train_shp,bh_test_ret,bh_test_shp,llm_train_ret,llm_train_shp,llm_test_ret,llm_test_shp,train_improvement,test_improvement
600519_贵州茅台,20.63,0.365,-1.96,0,16.0,0.296,-9.27,0,-4.629999999999999,-7.31
000858_五粮液,1.24,-0.554,0.17,0,7.05,0.064,-0.28,0,5.81,-0.45000000000000007
600036_招商银行,0.07,-7.269,0.25,0,-0.12,-3.382,0.15,0,-0.19,-0.1
000725_京东方,-0.02,-32.21,0.01,0,-0.14,-13.304,0.04,0,-0.12000000000000001,0.03
000002_万科A,-0.28,-10.339,-0.06,0,-0.97,-2.463,0.05,0,-0.69,0.11
601318_中国平安,-0.34,-3.438,0.29,0,-4.33,-1.679,0.63,0,-3.99,0.34
000651_格力电器,-0.03,-4.407,0.28,0,-3.96,-1.966,0.65,0,-3.93,0.37
600028_中国石化,0.03,-78.115,0.03,0,-0.1,-28.815,0.01,0,-0.13,-0.019999999999999997
601857_中国石油,0.01,-44.418,0.04,0,0.32,-11.98,0.07,0,0.31,0.030000000000000006
300059_东方财富,0.19,-7.522,0.24,0,0.85,-6.426,1.15,0,0.6599999999999999,0.9099999999999999
SPY,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
QQQ,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
