stop_loss,asset,period,returns_pct,sharpe_ratio,max_drawdown_pct,total_trades,volatility
50,600519_贵州茅台,training,11.62,0.259,3.0,14,low
50,600519_贵州茅台,testing,-1.7,0.0,1.92,2,low
50,000858_五粮液,training,2.65,-0.466,1.94,13,medium
50,000858_五粮液,testing,-0.19,0.0,0.19,2,medium
50,600036_招商银行,training,0.02,-11.984,0.26,17,low
50,600036_招商银行,testing,-0.05,0.0,0.07,2,low
50,000725_京东方,training,0.01,-112.551,0.03,17,high
50,000725_京东方,testing,-0.01,0.0,0.02,1,high
50,000002_万科A,training,-0.25,-15.157,0.35,17,high
50,000002_万科A,testing,-0.06,0.0,0.06,2,high
100,600519_贵州茅台,training,11.62,0.259,3.0,14,low
100,600519_贵州茅台,testing,-1.65,0.0,1.92,2,low
100,000858_五粮液,training,2.44,-0.491,2.1,13,medium
100,000858_五粮液,testing,-0.22,0.0,0.27,2,medium
100,600036_招商银行,training,-0.0,-9.808,0.33,17,low
100,600036_招商银行,testing,-0.05,0.0,0.07,2,low
100,000725_京东方,training,0.01,-112.551,0.03,17,high
100,000725_京东方,testing,-0.01,0.0,0.02,1,high
100,000002_万科A,training,-0.26,-14.361,0.36,17,high
100,000002_万科A,testing,-0.06,0.0,0.06,2,high
150,600519_贵州茅台,training,10.55,0.206,3.78,14,low
150,600519_贵州茅台,testing,-1.75,0.0,1.93,2,low
150,000858_五粮液,training,2.42,-0.492,2.09,13,medium
150,000858_五粮液,testing,-0.36,0.0,0.4,2,medium
150,600036_招商银行,training,-0.02,-9.292,0.35,17,low
150,600036_招商银行,testing,-0.05,0.0,0.07,2,low
150,000725_京东方,training,0.01,-112.551,0.03,17,high
150,000725_京东方,testing,-0.01,0.0,0.02,1,high
150,000002_万科A,training,-0.26,-14.361,0.36,17,high
150,000002_万科A,testing,-0.06,0.0,0.06,2,high
200,600519_贵州茅台,training,10.55,0.206,3.78,14,low
200,600519_贵州茅台,testing,-1.88,0.0,2.03,2,low
200,000858_五粮液,training,1.82,-0.587,2.37,13,medium
200,000858_五粮液,testing,-0.25,0.0,0.48,2,medium
200,600036_招商银行,training,-0.02,-9.292,0.35,17,low
200,600036_招商银行,testing,-0.05,0.0,0.07,2,low
200,000725_京东方,training,0.01,-112.551,0.03,17,high
200,000725_京东方,testing,-0.01,0.0,0.02,1,high
200,000002_万科A,training,-0.26,-14.361,0.36,17,high
200,000002_万科A,testing,-0.06,0.0,0.06,2,high
250,600519_贵州茅台,training,10.01,0.182,3.8,14,low
250,600519_贵州茅台,testing,-1.88,0.0,2.03,2,low
250,000858_五粮液,training,2.08,-0.588,2.12,13,medium
250,000858_五粮液,testing,-0.31,0.0,0.54,2,medium
250,600036_招商银行,training,-0.02,-9.292,0.35,17,low
250,600036_招商银行,testing,-0.05,0.0,0.07,2,low
250,000725_京东方,training,0.01,-112.551,0.03,17,high
250,000725_京东方,testing,-0.01,0.0,0.02,1,high
250,000002_万科A,training,-0.26,-14.361,0.36,17,high
250,000002_万科A,testing,-0.06,0.0,0.06,2,high
300,600519_贵州茅台,training,9.84,0.174,3.95,14,low
300,600519_贵州茅台,testing,-2.16,0.0,2.31,2,low
300,000858_五粮液,training,1.91,-0.624,2.21,13,medium
300,000858_五粮液,testing,-0.31,0.0,0.54,2,medium
300,600036_招商银行,training,-0.02,-9.292,0.35,17,low
300,600036_招商银行,testing,-0.05,0.0,0.07,2,low
300,000725_京东方,training,0.01,-112.551,0.03,17,high
300,000725_京东方,testing,-0.01,0.0,0.02,1,high
300,000002_万科A,training,-0.26,-14.361,0.36,17,high
300,000002_万科A,testing,-0.06,0.0,0.06,2,high
ATR_Adaptive,600519_贵州茅台,training,14.4,0.332,5.33,14,unknown
ATR_Adaptive,600519_贵州茅台,testing,-3.26,0.0,3.71,2,unknown
ATR_Adaptive,000858_五粮液,training,2.32,-0.509,2.18,13,unknown
ATR_Adaptive,000858_五粮液,testing,-0.15,0.0,0.38,2,unknown
ATR_Adaptive,600036_招商银行,training,-0.11,-18.125,0.22,17,unknown
ATR_Adaptive,600036_招商银行,testing,-0.07,0.0,0.08,2,unknown
ATR_Adaptive,000725_京东方,training,0.01,-113.049,0.03,17,unknown
ATR_Adaptive,000725_京东方,testing,-0.02,0.0,0.02,1,unknown
ATR_Adaptive,000002_万科A,training,-0.22,-19.984,0.31,17,unknown
ATR_Adaptive,000002_万科A,testing,-0.04,0.0,0.04,2,unknown
