Stock,Fixed_Return,Fixed_Trades,Optimized_Return,Optimized_Trades,Adaptive_Return,Adaptive_Trades
贵州茅台,14.068245553629573,4,-1.4070130958999945,8,14.068245553629573,4
五粮液,20.470154025819674,4,0.20175811680000333,8,20.470154025819674,4
招商银行,7.910758160050754,7,-0.13490943060000427,12,7.910758160050754,7
中国平安,-9.48462236632916,11,-0.26325190979999025,12,-9.48462236632916,11
格力电器,56.553944835792436,11,-0.14971767419997195,12,56.553944835792436,11
京东方,7.655511817463208,5,-0.011366033999991487,14,7.655511817463208,5
万科A,-22.76709003015369,15,-0.049033875900000565,10,-22.76709003015369,15
中国石化,64.83636800301541,1,0.006997564750010498,10,64.83636800301541,1
中国石油,70.83694323147324,8,0.003553780799993547,10,70.83694323147324,8
东方财富,16.757417067682777,3,-0.03099274410000362,10,16.757417067682777,3
